,Datetime Event Began,State Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,State Avg Temp (F),State Avg Windspeed (mph),State Avg Precipitation (mm),Monthly Net Energy for Load (GWh),Monthly Peak Hour Demand (MW),State Avg Snowfall (mm)
107,2020-03-01 11:27:00,Mississippi,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,19.0,3136.0,56.638823529411766,10.06605,0.0745222929936305,67251.0,130308.0,5.414117647058824
108,2020-03-01 08:00:00,New York,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,System Operations,675.0,0.0,25.93142857142857,7.269925,0.3463768115942028,52237.48697783428,88788.86850102444,5.414117647058824
109,2020-03-12 01:03:00,Pennsylvania,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,40.0,15864.0,47.14,5.616216785714285,0.2292682926829268,59390.0,97314.0,0.165
110,2020-03-16 12:01:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,165.0,110800.0,38.72030927835051,7.218835308641976,10.685483870967742,69798.95304288948,117219.4602402272,36.19140625
111,2020-03-17 10:30:00,Michigan,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,6062.0,0.0,34.318823529411766,10.22031896551724,0.5463013698630137,59390.0,97314.0,38.96938775510204
112,2020-03-18 07:09:00,Utah,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,237.0,73000.0,31.38674418604651,7.142102142857142,4.900308641975309,69798.95304288948,117219.4602402272,15.197478991596638
113,2020-03-26 21:29:00,Ohio,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,19.0,11964.0,54.0725,8.732513461538462,0.684297520661157,59390.0,97314.0,3.970479704797048
114,2020-03-29 20:27:00,Mississippi,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,4.0,1558.0,69.57764705882353,4.585645,7.95609756097561,67251.0,130308.0,1.4891304347826086
115,2020-03-31 11:45:00,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,412.0,57744.0,58.73,9.568961111111111,8.49696048632219,67251.0,130308.0,0.0631313131313131
116,2020-04-02 13:37:00,Nebraska,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,5.0,0.0,28.732307692307693,17.85791833333333,0.159552495697074,66359.79542512998,112551.47532,0.0
117,2020-04-05 15:46:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,7.0,6814.0,43.02620320855616,9.573931999999996,15.555719557195571,63441.19789971568,124635.9567896286,6.465201465201465
118,2020-04-12 13:00:00,Louisiana,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Severe Weather,122.0,37991.0,72.41818181818181,11.676618,3.225280898876405,61534.0,124024.0,0.0
119,2020-04-12 17:00:00,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,448.0,62828.0,64.385,12.1351825,8.572897196261682,61534.0,124024.0,0.0
120,2020-04-20 00:59:00,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,552.0,77341.0,63.425,6.431087499999999,44.38501529051988,61534.0,124024.0,0.0427350427350427
121,2020-04-23 08:00:00,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,375.0,52163.0,62.915000000000006,8.661773888888888,22.79313432835821,61534.0,124024.0,0.0
122,2020-04-24 21:00:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,5.0,945.0,63.26618556701031,2.01321,0.0386138613861386,63441.19789971568,124635.9567896286,0.0
123,2020-04-28 20:01:00,Texas,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,14.0,1.0,76.93675675675675,11.780395491803278,1.9695,26968.040644809,55291.698399,0.0
124,2020-05-04 11:59:00,Tennessee,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,500.0,130000.0,68.06,5.547511999999999,10.24247191011236,68436.0,139168.0,0.0
125,2020-05-19 20:04:00,Alabama,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,8.0,6000.0,68.105,5.204520666666666,5.332298136645963,68436.0,139168.0,1.3932584269662922
126,2020-05-25 10:58:00,Texas,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,8.0,3745.0,70.86027397260274,8.035922268907562,36.5007,31282.703805552,64410.803957,0.0
127,2020-06-03 13:00:00,New Jersey,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,80.0,87000.0,73.16,6.397534,9.292491467576792,64880.0,130870.0,0.0
128,2020-06-27 16:00:00,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,33480.0,78109.0,77.03,4.4738,4.103715170278638,79672.0,165088.0,0.0
129,2020-07-01 19:26:00,Pennsylvania,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,32.0,2013.0,73.48,4.545700357142858,1.3695544554455443,80295.0,144588.0,0.0
130,2020-07-12 14:08:00,Nevada,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,36.0,10000.0,73.38451612903226,7.01827375,0.001595744680851,84167.06314524027,162162.09381515812,0.0
131,2020-07-16 08:49:00,Minnesota,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,475.0,0.0,68.66,7.544453636363635,0.5164978292329956,96701.34638356004,168690.09257,0.0
132,2020-07-19 10:30:00,New York,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,System Operations,675.0,0.0,78.86,8.072577352941176,0.2946534653465346,56734.807140273,106101.02264548364,0.0
133,2020-07-20 00:57:00,Texas,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,21.0,14096.0,83.03972972972974,7.4824305,0.6818,40318.086720416,74344.069851,0.0
134,2020-07-21 11:53:00,Washington,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,19.0,11000.0,67.30523364485981,6.912742580645161,0.0333969465648854,84167.06314524027,162162.09381515812,0.0
135,2020-07-25 21:00:00,Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,125.0,84000.0,81.20324324324324,10.336733697478993,1.6559,40318.086720416,74344.069851,0.0
136,2020-08-04 13:00:00,New York,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,3907.0,420000.0,70.75142857142856,7.247555999999999,7.788022813688213,52973.06089615703,102340.16553431137,0.0
137,2020-08-04 11:20:00,New Jersey,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,60.0,75000.0,77.36,10.612847777777777,17.813131313131315,73815.0,141039.0,0.0
138,2020-08-04 15:15:00,Connecticut,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,2000.0,1188247.0,76.00999999999999,11.60391875,3.297546012269939,52973.06089615703,102340.16553431137,0.0
139,2020-08-04 06:01:00,North Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,311.0,125987.0,75.19027027027028,10.992765714285714,42.40579557428872,89197.0,169793.0,0.0
140,2020-08-05 17:58:00,Texas,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,89.0,19785.0,82.71621621621622,8.209977603305784,0.5686,40846.568051986,74375.846176,0.0
141,2020-08-07 05:13:00,New York,NPCC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,Severe Weather,500.0,187068.0,68.84857142857143,4.43312909090909,2.4289772727272725,52973.06089615703,102340.16553431137,0.0
142,2020-08-10 11:00:00,Iowa,MRO,"Uncontrolled loss of 200 Megawatts or more of firm system loads for 15 minutes or more from a single incident for entities with previous year's peak demand less than or equal to 3,000 Megawatts.",Severe Weather,550.0,0.0,74.16499999999999,7.539668823529411,4.182513661202186,91637.90342516002,172043.74683000002,0.0
143,2020-08-10 12:38:00,Iowa,MRO,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,Severe Weather,1400.0,250000.0,74.16499999999999,7.539668823529411,4.182513661202186,91637.90342516002,172043.74683000002,0.0
144,2020-08-10 10:00:00,Illinois,MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,950.0,300000.0,79.28,8.008102,3.625212464589235,91637.90342516002,172043.74683000002,0.0
145,2020-08-13 13:51:00,Texas,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,218.0,57060.0,87.54216216216216,8.792881083333333,0.7155,40846.568051986,74375.846176,0.0
146,2020-08-14 18:36:00,California,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,560.0,220000.0,80.95633898305084,2.68428,0.0338088445078459,87119.97331847252,168417.30545685565,0.0
147,2020-08-14 16:39:00,Louisiana,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,101.0,12671.0,83.51272727272728,4.503625333333333,9.786,89197.0,169793.0,0.0
148,2020-08-14 17:15:00,California,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,1120.0,0.0,80.95633898305084,2.68428,0.0338088445078459,87119.97331847252,168417.30545685565,0.0
149,2020-08-14 18:45:00,California,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,1419.0,132000.0,80.95633898305084,2.68428,0.0338088445078459,87119.97331847252,168417.30545685565,0.0
150,2020-08-15 18:25:00,California,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,459.0,220000.0,82.79010033444817,4.883898333333333,0.0792207792207792,87119.97331847252,168417.30545685565,0.0
151,2020-08-15 14:53:00,California,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,795.0,0.0,82.79010033444817,4.883898333333333,0.0792207792207792,87119.97331847252,168417.30545685565,0.0
152,2020-08-15 15:00:00,California,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,200.0,70000.0,82.79010033444817,4.883898333333333,0.0792207792207792,87119.97331847252,168417.30545685565,0.0
153,2020-08-16 03:44:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,409.0,124266.0,81.49176056338028,2.01321,0.3187675070028011,87119.97331847252,168417.30545685565,0.0
154,2020-08-17 08:21:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,2.0,2.0,80.19,1.78952,0.4157746478873239,87119.97331847252,168417.30545685565,0.0
155,2020-08-18 14:44:00,Texas,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,205.0,238.0,82.59216216216217,5.236977647058823,1.1106,40846.568051986,74375.846176,0.0
156,2020-08-19 01:27:00,Ohio,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,22.0,16107.0,66.56,5.169724444444444,1.566818181818182,73815.0,141039.0,0.0
